label,abstract
cancer,"The ability to escape immune surveillance is a hallmark of malignancy. Programmed death ligand 1 (PD-L1) facilitates tumor progression by binding to the immune inhibitory receptor known as programmed cell death protein 1 (PD1) on immune cells, resulting in suppression of the cytotoxic T lymphocyte function. The degree of PD-L1 expression may have a prognostic value in some cancer types, and it may vary according to the genetic makeup and the ethnicity of patients. The expression level of PD-L1 in 63 cases of primary head and neck squamous cell carcinoma (HNSCC) tumor tissues was evaluated using immunohistochemistry (IHC). Also, PD-L1 association with various clinicopathologic characteristics and overall survival was studied. The positive expression rate of PD-L1 in HNSCC was 85.7%, 60.3%, and 52.3% of the total number of cases using combined positive score (CPS) >/= 1, CPS >/= 5, and CPS >/= 20 cutoff values, respectively. Statistical analysis revealed no significant relationship between the expression of PD-L1 protein and clinicopathological features except for tobacco use using a cutoff CPS >/= 20. The log-rank chi-square results showed that PD-L1 was not a significant factor affecting the 4-year overall survival of HNSCC patients. Also, the overall survival rate was not significantly affected by the patient's age, tumor differentiation, tumor size, and lymphovascular invasion. However, survival curves demonstrated lower overall survival in HNSCC female patients, disease recurrence, and positive perineural invasion. Our findings showed relatively high PDL-1 expression in most HNSCC patients. No significant association was found between PD-L1 protein expression and overall survival."
cancer,"IMPORTANCE: Medicaid expansion under the Affordable Care Act broadened eligibility for government-funded health coverage. This may have improved access to early diagnosis and rapid treatment, potentially impacting survival in patients with resectable non-small cell lung cancer (NSCLC), a leading cause of cancer-related death in the US. OBJECTIVE: To evaluate the association between state-level Medicaid expansion and all-cause mortality in patients with resectable NSCLC. DESIGN, SETTING, AND PARTICIPANTS: This cohort study of patients aged 20 to 64 years who were diagnosed with stage I to IIIA NSCLC used data from the Surveillance, Epidemiology, and End Results registry collected between January 1, 2006, to December 31, 2019, with outcomes administratively censored at 2 and 4 years. Data were analyzed between March 1 and September 10, 2025. EXPOSURE: Medicaid expansion status of patients' state of residence at diagnosis. Patients' states of residence were categorized as nonexpansion, early expansion (2011), 2014 expansion, or late expansion (after 2014). MAIN OUTCOMES AND MEASURES: Primary outcomes were 2- and 4-year all-cause mortality. Cox proportional hazards regression models within a difference-in-differences framework were used to estimate adjusted hazard ratios (HRs) for death. Secondary analyses evaluated postexpansion mortality trends and changes in early-stage (I-II) diagnoses using logistic regression. RESULTS: Among 53 842 patients included in the analysis (24 849 [46.2%] 60-64 years of age; 27 027 [50.2%] male), propensity score-matched analyses showed lower 2-year mortality in states with early expansion (HR, 0.95; 95% CI, 0.91-0.99; P = .02) and 2014 expansion (HR, 0.91; 95% CI, 0.86-0.95; P < .001) compared with nonexpansion control states, whereas no significant difference was observed in late expansion states (HR, 0.95; 95% CI, 0.89-1.02; P = .15). All expansion groups showed decreased mortality. Mortality decreases were observed after the first 3 years and persisted throughout the study period. The proportion of early-stage diagnoses did not change post expansion, suggesting benefits may have been mediated by improved postdiagnostic care rather than earlier detection. CONCLUSIONS AND RELEVANCE: In this cohort study of patients with stage I to IIIA NSCLC, Medicaid expansion was associated with lower mortality at 2 and 4 years. These findings suggest that expanded insurance coverage may have enhanced access to effective cancer care and improved population-level outcomes."
cancer,"Siddhartha Mukherjee, MD, DPhil, has written four new chapters for an updated version of his acclaimed book on the history of cancer, The Emperor of All Maladies. Released today, the book discusses new developments in cancer prevention, detection, and treatment. Here, he shares his motive for updating the book, as well as his thoughts on future directions for cancer research."
cancer,"Contamination of food products such as rice with mycotoxins, especially aflatoxins (AFs), can endanger human health and cause economic problems. Dietary exposure to aflatoxin B1 (AFB1) is a public health concern, especially in countries where rice is a staple food, due to its carcinogenic, acute, and chronic effects. Therefore, the aim of this study was to determine the occurrence and concentration levels of AFB1 in domestic (Iranian) rice samples. The presence and mean concentration of AFB1 in 70 Iranian rice samples collected from local markets in Tehran, Iran were measured using a competitive ELISA method. Furthermore, a health risk assessment was performed based on estimated daily intake (EDI) of AFB1 from rice consumption, margin of exposure (MOE), and liver cancer risk in Iranian children and adults. AFB1 was detected in 26 samples (37.1%) with the mean concentration levels of 1.86 +/- 0.67 ng/g (ranges from 1.12 to 4.26); of these, 7 samples (26.9%) had values exceeding the limit set by European Union regulations (2 ng/g). Additionally, AFB1 contamination in no rice sample exceeded the maximum limit accepted by Iranian National Standardisation Organisation (5 ng/g). This study showed that the mean EDI of AFB1 was 9 and 3 ng/kg bw/day for children and adults, respectively. In addition, the mean MOEs for children and adults were 18 and 64, respectively, indicating a public health concern. In addition, the present study showed that the risks of liver cancer associated with rice consumption among Iranian children and adults were 0.13 and 0.04 cancer cases/year/per 10(5) people, respectively. This study showed that monitoring AFB1 levels in rice is essential for assessing food safety and protecting public health, particularly in developing countries where rice is a staple food."
cancer,"BackgroundPancreatic cancer has poor outcomes, with vascular invasion being a critical factor in determining resectability and prognosis. Accurate assessment of vascular invasion remains challenging.PurposeTo investigate the predictors of vascular invasion and recurrence-free survival (RFS) in patients with pancreatic cancer undergoing surgery after chemotherapy using computed tomography (CT) and histopathological data, and to evaluate the diagnostic performance of CT-based vascular scoring system.Material and MethodsWe retrospectively analyzed 98 patients with pancreatic cancer showing vascular encasement on CT who underwent chemotherapy before surgery. Two reviewers evaluated baseline and preoperative CT to assess resectability. Clinicohistopathological factors were assessed. RFS was analyzed using the Kaplan-Meier method. The predictors were identified using Cox proportional hazards and logistic regression models. A 3-point scoring system quantified vascular involvement at baseline and preoperative CT, with total scores combining both time points.ResultsOf the 98 patients, 32 (32.7%) had pathologically confirmed vascular invasion. Change in tumor size (odds ratio [OR]=3.1; P = 0.022), T stage (OR=15.4; P = 0.038), and perineural invasion (OR=13.2; P = 0.028) predicted vascular invasion. Total vascular scores strongly correlated with vascular invasion (areas under the curve=0.924 and 0.803). Median RFS was 21 months, influenced by lymph node involvement at baseline and preoperative CT (hazard ratio [HR]=2.3; P = 0.009 and HR=2.6; P = 0.013, respectively), tumor differentiation (HR=3.3; P = 0.047), and elevated CA 19-9 (HR=2.8; P = 0.019).ConclusionChanges in tumor size on CT, T stage, and perineural invasion predict vascular invasion. In addition, a CT-based scoring systems can accurately predict vascular invasion after chemotherapy."
cancer,"IntroductionRapid magnetic resonance imaging (MRI) plays an increasingly important role in radiotherapy. It improves the accuracy of delineation of target volumes and organs at risk (OARs), but generating accurate synthetic CT(sCT) from MRI remains challenging, and the lack of electron density information limits its further clinical application. Therefore, the purpose of this study was to develop and evaluate a CBAMPix2Pix model for MRI to CT synthesis.MethodsWe adapted the CBAMPix2Pix architecture, incorporating convolutional block attention module(CBAM), to synthesize CT images from 17260 MRI slices of 86 patients with metastatic brain cancer. The model analyzes local features to enhance image authenticity and is designed to map T1-weighted Contrast-enhanced (T1wc) to sCT. To address the data imbalance between normal tissue and bone, we introduce structural similarity loss(SSIM) to enhance local features of learning images, thereby better reducing differences in Hounsfield Unit(HU).ResultsWe evaluate the performance of the model through quantitative and qualitative evaluations. Our proposed model achieves higher peak signal-to-noise ratio (PSNR) of 27.5 +/- 3.3 dB, normalized mean absolute error (NMAE) of 0.019 +/- 0.023, and structural similarity index (SSIM) of 0.857 +/- 0.059 for sCT images in MR simulation sequences, and the average mean absolute error(MAE) was 74.48 +/- 22.88 HU in body and 185.89 +/- 21.59 HU in bone. The P-values of the Wilcoxon signed-rank test for the CBAMPix2Pix model compared with the other two models in PSNR, SSIM, MAE, and NMAE were all less than 0.05 in the test cohorts.ConclusionWe have developed a novel CBAMPix2Pix model that can effectively generate realistic sCT images comparable to real images, potentially improving the accuracy of MRI-based treatment planning."
cancer,"IntroductionLocally advanced rectal cancer (LARC) remains a therapeutic challenge, with significant risks of both locoregional and distant relapse. Total neoadjuvant therapy (TNT), which combines induction chemotherapy and chemoradiotherapy (CRT) prior to surgery, has emerged as a potentially more effective strategy than traditional approaches, yet data from low- and middle-income countries (LMICs) remain limited. This study evaluates the efficacy and toxicity of induction FOLFIRINOX followed by concurrent CRT in Vietnamese patients with lower-middle LARC.MethodsA retrospective analysis was conducted on adult patients (n = 72) with clinical stage T3-T4 M0 rectal adenocarcinoma. All patients received induction FOLFIRINOX for six cycles and preoperative CRT, followed by total meso-rectal excision (TME), and adjuvant chemotherapy as indicated. The primary endpoint was pathologic complete response (pCR, ypT0N0); secondary endpoints were 3-year disease-free survival (DFS) and safety. The study conforms to STROBE guidelines.ResultsPathological complete response was achieved in 25.0% of patients. The 3-year DFS reached 90.6%. Treatment feasibility was high, with 93.06% completing all 6 induction cycles; hematologic adverse events, particularly leukopenia and neutropenia, were the most common toxicities but were generally manageable with supportive care, while nonhematological toxicities were predominantly mild. R0 resection rate was 100% and sphincter-preserving surgery was 86.1%.ConclusionIn a LMIC setting, induction FOLFIRINOX followed by CRT shows promising efficacy and tolerable toxicity in LARC. These findings support early, intensified systemic therapy to enhance local control and mitigate metastatic spread."
cancer,"BACKGROUND: Inhibin subunit beta B (INHBB), a member of the TGF-beta superfamily, has emerged as a potential regulator of tumor progression and immune modulation. However, its clinical and immunological significance in colorectal cancer (CRC) remains unclear. METHODS: This study evaluated INHBB mRNA expression in 248 CRC cases using RNA in situ hybridization (RNAscope), immunohistochemistry (IHC), and single-cell RNA sequencing (scRNA-seq). Associations with clinicopathological parameters, tumor-infiltrating immune cells, and prognosis were analyzed. RESULTS: INHBB was primarily expressed in tumor epithelial cells and weakly in stromal cells, but was negligible in normal mucosa. High INHBB expression correlated significantly with venous invasion, lymph node metastasis, advanced TNM stage, and reduced tumor-infiltrating lymphocytes. IHC revealed marked decreases in CD4(+), CD8(+), and FOXP3(+) T cells and increased CD163(+) tumor-associated macrophages in INHBB high tumors, indicating an immunosuppressive tumor microenvironment (TME). Kaplan-Meier analysis showed that high INHBB expression was associated with worse overall survival and recurrence-free survival, but was not an independent prognostic factor in multivariate models. CONCLUSION: INHBB is predominantly expressed in tumor epithelium and is associated with aggressive features, poor prognosis, and the formation of an immune-cold, macrophage-rich TME in CRC. These findings suggest that INHBB may be a potential biomarker for immune evasion and a target for novel immunotherapeutic strategies in CRC."
cancer,"Pulmonary diseases are still a serious threat to human health today, particularly in light of the recent rise of novel viruses such as SARS, influenza A, and COVID-19, which have made the situation even more dire by worsening the disease's effects on global public health. Isorhamnetin (ISO), as the active component of many medicinal plants and preparations, exhibits good antiviral, anti-inflammatory, antioxidant, and anti-tumor effects. ISO has been proven to have both preventive and treatment efficacy against pulmonary diseases. This review summarizes the effects of ISO in different pulmonary diseases, including COVID-19, pneumonia, acute lung injury/acute respiratory distress syndrome, lung cancer, asthma, pulmonary arterial hypertension, and pulmonary fibrosis, highlighting its specific molecular mechanisms against various pulmonary diseases, which is helpful for providing new perspectives on the preclinical trial and clinical application of ISO."
cancer,"GT-14, identified as [(E)-4-((1-(1-methyl-1H-indol-2-yl) ethylidene)amino)phenol], is a novel inhibitor targeting the Galpha(i)2 protein, which is crucial in facilitating cell migration and invasion in prostate, ovarian, and breast cancer cells. therefore a valuable target for treating metastatic castration-resistant prostate cancer (mCRPC). In this study, GT-14's physicochemical properties, permeability, metabolic behavior, and tissue distribution were assessed. The results showed that GT-14 exhibited very slight aqueous solubility at room temperature (0.11 mg/mL) but was soluble in solvents including dimethyl sulfoxide and dimethyl acetamide, and sparingly or slightly soluble in several cosolvents. GT-14 exhibited a distinct pH-dependent solubility profile, being stable across a broad pH range (1.2-7.4) but degrading in strongly basic conditions. It exhibited high permeability (1.3 x 10(-5) cm/s) in Caco-2 cell culture models and therefore identified as a BCS II compound. Hepatic microsomal studies revealed that GT-14 underwent Phase I metabolism, with more than 90% remaining in 60 min incubation in rat liver microsomes. A stable co-solvent formulation was developed to enable intravenous administration for pharmacokinetic studies. Previous pharmacokinetic studies showed that GT-14 exhibited biphasic disposition with a terminal plasma elimination half-life of 268.07 minutes (> 4 hours). Tissue distribution analysis indicated the highest concentration of GT-14 in the prostate, followed by the kidneys, lungs, heart, and liver. Our study presents an early-stage preclinical drug development roadmap that integrates modern technologies for efficiency and success, using GT-14 as a model compound. It showed promising characteristics, reinforcing its potential as a new therapeutic agent for mCRPC."
cancer,"Cancer and autoimmune diseases are major global health challenges characterized by molecular and clinical heterogeneity. Traditional single-analyte biomarkers often lack the sensitivity and specificity required for early detection and personalized therapy, highlighting the need for robust next-generation biomarkers (NGBs). This review provides a concise overview of NGBs in cancer and autoimmune diseases, emphasizing multi-omics integration and artificial intelligence (AI)-driven approaches shaping precision diagnostics and therapeutics. A literature search of PubMed, Scopus, and Web of Science over the last 15 years focused on genomics, transcriptomics, spatial transcriptomics, proteomics, metabolomics, and Microbiomics, particularly studies combining multi-omics datasets with AI/machine learning. Multi-omics and AI reveal dynamic molecular signatures-circulating tumor DNA, microRNAs, long non-coding RNAs, proteins, metabolites, and immune profiles. Single-cell and spatial analyses uncover cellular heterogeneity and tissue context, while proteomics, metabolomics, and microbiomics provide functional insights, enhancing disease detection, patient stratification, and therapy monitoring. Challenges include assay standardization, inter-patient variability, and regulatory hurdles. Multi-omics and AI-powered NGBs promise to transform precision diagnostics and personalized therapy, requiring continued research, standardization, and global collaboration."
cancer,"Circulating tumor cell (CTC) clusters are potent drivers of metastasis in breast cancer, and their survival and dissemination within the circulatory system are critically governed by dynamic interactions with the host microenvironment. Two key mechanisms-""platelet cloaking"" and ""leukocyte escort""-have emerged as central axes that amplify the metastatic potential of these clusters. This review synthesizes these parallel yet intersecting pathways, elucidates the biological basis for their synergistic interplay, and proposes a translational roadmap from mechanistic insight to clinical application. Accumulating evidence indicates that breast cancer CTC clusters originate from the oligoclonal shedding of primary tumor cells, with their structural integrity maintained by the intercellular adhesion molecule plakoglobin. Within the circulation, CTCs form heterogeneous clusters with neutrophils, a phenomenon strongly associated with poor patient prognosis that activates cell cycle programs, supporting the concept of ""proliferation in transit"". Concurrently, platelet cloaking, mediated by molecules such as P-selectin, confers multiple survival advantages: it shields clusters from hemodynamic shear stress, facilitates evasion of immune surveillance (notably NK cell-mediated cytotoxicity), and forms microthrombi that act as ""docking scaffolds"" to enhance extravasation efficiency. While the advent of low-shear microfluidic technologies now enables the precise isolation and functional characterization of these clusters, a significant gap persists in high-level clinical evidence for interventions. Preclinical studies have identified the selectin/integrin network and fibrinogen as highly promising therapeutic targets. Therefore, we propose the implementation of mechanism-driven, exploratory clinical trials guided by biomarkers (e.g., dynamic changes in CTC clusters) and conducted within the perioperative ""window of opportunity"" to validate the clinical feasibility and safety of therapeutically targeting this ""platelet cloaking and leukocyte escort"" axis in breast cancer."
cancer,"BACKGROUND: Breast cancer remains the leading cause of cancer-related mortality in women worldwide, with metastatic disease posing significant therapeutic challenges. While immunotherapy has shown promise, tumor immune evasion limits its efficacy. The basement membrane (BM), a specialized extracellular matrix structure, plays a crucial yet understudied role in breast cancer progression and immune modulation. This study aims to investigate the prognostic value and therapeutic potential of BM-related genes in breast cancer. METHODS: We integrated transcriptomic data from TCGA and GEO databases to construct a BM-related gene signature. Unsupervised clustering stratified patients into molecular subtypes, while differential expression analysis identified key BM-associated genes. Functional enrichment analyses (GO, KEGG, GSEA) elucidated biological pathways, and immune microenvironment characterization was performed using ESTIMATE and CIBERSORT. Machine learning approaches pinpointed critical BM-related genes, which were subsequently validated through in vitro experiments. RESULTS: Breast cancer patients were classified into high- and low-BM groups, with the low-BM cohort exhibiting worse prognosis. Pathway analysis revealed significant enrichment in immune regulation, ECM remodeling, and cytokine signaling. FREM1 emerged as a top protective gene through machine learning. Experimental validation in breast cancer cell lines showed that FREM1 expression was significantly lower in tumor cells compared to normal cells. Upon overexpression of FREM1 in breast cancer cell lines, as confirmed by both qPCR and Western blot, we observed a significant reduction in tumor cell proliferation, migration, and invasion. These findings suggest that FREM1 overexpression impairs the aggressiveness of breast cancer cells, reinforcing its potential as a tumor suppressor. CONCLUSION: Our study establishes BM-related genes as novel prognostic biomarkers and therapeutic targets in breast cancer. FREM1 in particular functions as a tumor suppressor by inhibiting cancer cell proliferation, migration, and invasion, highlighting its potential for therapeutic exploitation. These findings provide critical insights into BM-mediated tumor progression and suggest new avenues for targeted breast cancer therapy."
