label,abstract,processed_abstract
cancer,"BACKGROUND: Placental tissue contains a variety of tumor-associated antigens. Antigen-specific T cells generated by expanded dendritic cells (DCs) loaded with placental peptides have the potential to exert antitumor effects both in vitro and in vivo. OBJECTIVE: To investigate the immunotherapeutic potential of placental peptides as a novel source of tumor-associated antigens (TAAs). We hypothesized that DCs, expanded and matured in vitro and pulsed with placental peptide extracts, can effectively prime antigen-specific T cells (ASTs) with robust cytotoxic activity against various tumor cell lines and in vivo tumor models. METHODS: Mass spectrometry was used to identify tumor-related peptides within the placental extract. In vitro assays were employed to assess the expansion of DCs, their maturation following exposure to placental peptide preparations, and the subsequent activation of T cells. RESULTS: The cytotoxic activity of ASTs was assessed and showed strong tumor cell killing across three cancer cell lines, U87MG (glioblastoma), SH-SY5Y (neuroblastoma), and MCF-7 (breast cancer). In a neuroblastoma animal model, ASTs treatment significantly reduced tumor proliferation, indicating substantial therapeutic potential in vivo. CONCLUSION: Our findings suggest that DCs pulsed with placental peptides can generate ASTs with potent antitumor activity in vitro and in vivo. Additional studies are needed to determine applicability across other tumor types, refine therapeutic parameters, and assess clinical potential.",background placent tissu contain varieti tumorassoci antigen antigenspecif cell gener expand dendrit cell dc load placent peptid potenti exert antitumor effect vitro vivo object investig immunotherapeut potenti placent peptid novel sourc tumorassoci antigen taa hypothes dc expand matur vitro puls placent peptid extract effect prime antigenspecif cell ast robust cytotox activ variou tumor cell line vivo tumor model method mass spectrometri use identifi tumorrel peptid within placent extract vitro assay employ assess expans dc matur follow exposur placent peptid prepar subsequ activ cell result cytotox activ ast assess show strong tumor cell kill across three cancer cell line u87mg glioblastoma shsy5i neuroblastoma mcf7 breast cancer neuroblastoma anim model ast treatment significantli reduc tumor prolifer indic substanti therapeut potenti vivo conclus find suggest dc puls placent peptid gener ast potent antitumor activ vitro vivo addit studi need determin applic across tumor type refin therapeut paramet assess clinic potenti
cancer,"BACKGROUND Allergic bronchopulmonary aspergillosis (ABPA) is a pulmonary disorder that occurs in patients allergic to Aspergillus species. It is typically characterized by reversible airway obstruction, transient pulmonary infiltrates, eosinophilia, and fever. Chest radiographs and high-resolution computed tomography (CT) are essential for diagnosis and differential diagnosis. Carcinoembryonic antigen (CEA), a tumor-specific marker, is often elevated in various malignant tumors but can also be increased in nonmalignant conditions. This overlap can result in misdiagnosis and unnecessary anxiety, leading to inappropriate clinical management. We report a case of ABPA presenting with pulmonary shadows that mimicked lung cancer, as well as elevated serum CEA levels. This report aims to enhance clinicians' understanding of ABPA, improve diagnostic accuracy, and reduce the likelihood of misdiagnosis or missed diagnosis. CASE REPORT A 39-year-old woman with a history of bronchial asthma presented with a productive cough. Chest CT revealed solid lesions in the left upper pulmonary lobe with mediastinal lymphadenopathy. Her serum CEA level was elevated, raising suspicion of malignancy. A positron emission tomography-CT scan demonstrated increased fluorodeoxyglucose uptake in the lungs. However, a CT-guided percutaneous lung biopsy, combined with other relevant diagnostic tests, confirmed ABPA according to the International Society for Human and Animal Mycology (ISHAM) criteria. After corticosteroid therapy, both the radiographic findings and serum CEA levels improved. CONCLUSIONS To avoid unnecessary invasive procedures and misdiagnosis of malignancy, ABPA should be considered in the differential diagnosis of patients with asthma who present with pulmonary solid lesions and elevated serum CEA levels.",background allerg bronchopulmonari aspergillosi abpa pulmonari disord occur patient allerg aspergillu speci typic character revers airway obstruct transient pulmonari infiltr eosinophilia fever chest radiograph highresolut comput tomographi ct essenti diagnosi differenti diagnosi carcinoembryon antigen cea tumorspecif marker often elev variou malign tumor also increas nonmalign condit overlap result misdiagnosi unnecessari anxieti lead inappropri clinic manag report case abpa present pulmonari shadow mimick lung cancer well elev serum cea level report aim enhanc clinician understand abpa improv diagnost accuraci reduc likelihood misdiagnosi miss diagnosi case report 39yearold woman histori bronchial asthma present product cough chest ct reveal solid lesion left upper pulmonari lobe mediastin lymphadenopathi serum cea level elev rais suspicion malign positron emiss tomographyct scan demonstr increas fluorodeoxyglucos uptak lung howev ctguid percutan lung biopsi combin relev diagnost test confirm abpa accord intern societi human anim mycolog isham criteria corticosteroid therapi radiograph find serum cea level improv conclus avoid unnecessari invas procedur misdiagnosi malign abpa consid differenti diagnosi patient asthma present pulmonari solid lesion elev serum cea level
cancer,"A new cyclic dipeptide, cyclo(phenylalanine-proline) (cFP), was isolated from the marine bacterium Exiguobacterium profundum SW22 and characterized by NMR and high-resolution mass spectrometry. In silico profiling predicted favorable pharmacokinetic and drug-like properties for cFP. The compound demonstrated dose-dependent cytotoxicity against human breast (MDA MB-231), pancreatic (PAN C1), and prostate (PC 3) cancer cell lines with IC(5)(0) values of 47.24 +/- 0.42, 40.96 +/- 0.68, and 110 +/- 1.48 microM, respectively, accompanied by apoptosis-associated morphological changes. Biophysical studies demonstrated strong binding affinity between cFP and human serum albumin (HSA), confirmed through UV-visible absorption spectroscopy, fluorescence quenching, and circular dichroism analyses, with validation using well-characterized reference ligand warfarin as control. Results suggest static quenching via ground-state complex formation with negligible lifetime changes, consistent with control molecule (warfarin) binding via hydrogen bonding and van der Waals interactions, accompanied by ligand-induced decreases in HSA alpha-helical content. Molecular docking studies of HSA with cFP and warfarin revealed strong binding affinities for both compounds. Further, the molecular dynamics simulations over a 50 ns timeframe confirmed the enhanced stability and persistent interaction of the cFP-HSA complex. Results highlight the cFP as a promising bioactive peptide with potential anticancer, pharmacokinetic and serum binding efficacies advocating further preclinical development for anticancer therapy.",new cyclic dipeptid cyclophenylalanineprolin cfp isol marin bacterium exiguobacterium profundum sw22 character nmr highresolut mass spectrometri silico profil predict favor pharmacokinet druglik properti cfp compound demonstr dosedepend cytotox human breast mda mb231 pancreat pan c1 prostat pc 3 cancer cell line ic50 valu 4724 042 4096 068 110 148 microm respect accompani apoptosisassoci morpholog chang biophys studi demonstr strong bind affin cfp human serum albumin hsa confirm uvvis absorpt spectroscopi fluoresc quench circular dichroism analys valid use wellcharacter refer ligand warfarin control result suggest static quench via groundstat complex format neglig lifetim chang consist control molecul warfarin bind via hydrogen bond van der waal interact accompani ligandinduc decreas hsa alphahel content molecular dock studi hsa cfp warfarin reveal strong bind affin compound molecular dynam simul 50 ns timefram confirm enhanc stabil persist interact cfphsa complex result highlight cfp promis bioactiv peptid potenti anticanc pharmacokinet serum bind efficaci advoc preclin develop anticanc therapi
cancer,"The therapeutic targeting of kinase signaling pathways represents a pivotal strategy in gastric cancer, yet the rational design of single agents capable of dual-kinase inhibition remains a challenge in precision oncology. Here, we develop the DuoKinaseNet, a dual-task spectral graph neural network that integrates global topological information from a heterogeneous biomedical graph to enable structure-preserving prediction of drug-kinase interactions. The core innovation of our model is the Structure-Preserving Spectral Expansion (SPSE) module, which injects global graph topology from a biomedical knowledge graph into the learning process via spectral coordinates and diffusion-distance biased attention. Evaluated on a comprehensive dataset curated from DrugBank, DuoKinaseNet achieves state-of-the-art performance, particularly on the challenging ""unseen protein"" benchmark, with an AUC-ROC of 0.903 for HER2 and 0.895 for FGFR2b. It significantly outperforms a wide range of baseline models, including 3D-aware methods and single-task variants, empirically validating the synergistic benefits of the dual-task learning and SPSE frameworks.",therapeut target kinas signal pathway repres pivot strategi gastric cancer yet ration design singl agent capabl dualkinas inhibit remain challeng precis oncolog develop duokinasenet dualtask spectral graph neural network integr global topolog inform heterogen biomed graph enabl structurepreserv predict drugkinas interact core innov model structurepreserv spectral expans spse modul inject global graph topolog biomed knowledg graph learn process via spectral coordin diffusiondist bias attent evalu comprehens dataset curat drugbank duokinasenet achiev stateoftheart perform particularli challeng unseen protein benchmark aucroc 0903 her2 0895 fgfr2b significantli outperform wide rang baselin model includ 3dawar method singletask variant empir valid synergist benefit dualtask learn spse framework
cancer,"In 2022, Hanahan integrated polymorphic microbiomes to the hallmarks of cancer, resulting in 14 overarching features that are considered fundamental to initiation and progression of cancers. It is well acknowledged that genomic instability/genetic alterations together with tumor-associated inflammation are so called ""enabling hallmarks"" as they drive the acquisition of the other traits. The microbiome is a key component of the inflammatory tumor stroma. Pancreatic ductal adenocarcinoma (PDAC) in particular is characterized by a pronounced stromal compartment whose role in the acquisition of malignant properties is well documented. Recent studies indicate massive alterations of the microbiome in PDAC tissues compared to healthy pancreas or precursor lesions. However, the mechanistic role of the PDAC-associated microbiome, its influence on the hallmarks of cancer, and how this relates to PDAC malignancy remain poorly understood. This raises the question of whether the tumor-associated microbiome through its direct influence on PDAC cells, their precursors, and the surrounding non-neoplastic cells promotes the acquisition of other hallmarks that drive PDAC development and progression. This perspective article outlines the current knowledge of the impact of the PDAC-associated microbiome on the hallmarks of cancer in PDAC. These current findings support the altered microbiome as a third enabling hallmark of PDAC and emphasize that further mechanistic studies are urgently needed to further substantiate its fundamental importance for this tumor entity. This knowledge will provide the basis for clinical translation to develop more effective therapeutic approaches for PDAC. The intratumoral microbiome in PDAC exhibits numerous interactions with the hallmarks of cancer. Hallmarks indicated in blue have demonstrated interactions with the microbiome, while others still remain underexplored. These extensive interactions substantiate the role of the intratumoral microbiome in PDAC as an enabling hallmark, underlining its potential as a therapeutic target. Partially created with biorender.com.",2022 hanahan integr polymorph microbiom hallmark cancer result 14 overarch featur consid fundament initi progress cancer well acknowledg genom instabilitygenet alter togeth tumorassoci inflamm call enabl hallmark drive acquisit trait microbiom key compon inflammatori tumor stroma pancreat ductal adenocarcinoma pdac particular character pronounc stromal compart whose role acquisit malign properti well document recent studi indic massiv alter microbiom pdac tissu compar healthi pancrea precursor lesion howev mechanist role pdacassoci microbiom influenc hallmark cancer relat pdac malign remain poorli understood rais question whether tumorassoci microbiom direct influenc pdac cell precursor surround nonneoplast cell promot acquisit hallmark drive pdac develop progress perspect articl outlin current knowledg impact pdacassoci microbiom hallmark cancer pdac current find support alter microbiom third enabl hallmark pdac emphas mechanist studi urgent need substanti fundament import tumor entiti knowledg provid basi clinic translat develop effect therapeut approach pdac intratumor microbiom pdac exhibit numer interact hallmark cancer hallmark indic blue demonstr interact microbiom other still remain underexplor extens interact substanti role intratumor microbiom pdac enabl hallmark underlin potenti therapeut target partial creat biorendercom
cancer,"BACKGROUND: Colorectal cancer (CRC) incidence is rising among adults under 55 years, but its causes remain unclear. Large-scale prospective studies are needed to identify risk factors for early-onset CRC (EOCRC). METHODS: We pooled three large European prospective cohort studies, examining 14 known or suspected risk factors with EOCRC (diagnosed <55 years, N = 1369) and later-onset CRCs (LOCRC) (diagnosed >/=55 years, N = 13,490). Cox proportional hazards models estimated hazard ratios (HRs) and 95% confidence intervals (CIs). RESULTS: Higher body mass index (BMI, per 5 kg/m(2) increase), was strongly associated with EOCRC in men (HR 1.33, 95% CI: 1.18-1.51), particularly for early-onset colon cancer (HR 1.55, 95% CI: 1.32-1.82), compared to later-onset disease (HR 1.25, 95% CI: 1.19-1.31) (Phet = 0.01). Weaker associations with BMI were observed for women and rectal cancers. Similar sex and subsite specific trends were observed for waist circumference and waist-to-hip ratio. Current smoking (HR 1.24, 95% CI: 1.07-1.44) and alcohol use (HR 1.15, 95% CI: 1.06-1.25) increased EOCRC risk, and physical activity (HR 0.71, 95% CI: 0.54-0.95) was protective. DISCUSSION: Adiposity, physical inactivity, smoking, and alcohol consumption are risk factors for EOCRC. Risk factors were largely similar between EOCRC and LOCRC, except for adiposity, with stronger EOCRC association in men.",background colorect cancer crc incid rise among adult 55 year caus remain unclear largescal prospect studi need identifi risk factor earlyonset crc eocrc method pool three larg european prospect cohort studi examin 14 known suspect risk factor eocrc diagnos 55 year n 1369 lateronset crc locrc diagnos 55 year n 13490 cox proport hazard model estim hazard ratio hr 95 confid interv ci result higher bodi mass index bmi per 5 kgm2 increas strongli associ eocrc men hr 133 95 ci 118151 particularli earlyonset colon cancer hr 155 95 ci 132182 compar lateronset diseas hr 125 95 ci 119131 phet 001 weaker associ bmi observ women rectal cancer similar sex subsit specif trend observ waist circumfer waisttohip ratio current smoke hr 124 95 ci 107144 alcohol use hr 115 95 ci 106125 increas eocrc risk physic activ hr 071 95 ci 054095 protect discuss adipos physic inact smoke alcohol consumpt risk factor eocrc risk factor larg similar eocrc locrc except adipos stronger eocrc associ men
cancer,"Lactylation, a recently identified histone modification derived from lactate metabolism, has emerged as a critical regulator of epigenetic reprogramming, tumor proliferation, and immune evasion. In ovarian cancer, lactate dehydrogenase A (LDHA) and other metabolic enzymes contribute to lactate accumulation, which supports chemotherapy resistance and disease progression. Although lactylation is increasingly linked to therapy failure, its precise molecular connection with ovarian cancer, as well as its therapeutic potential are unclear. Traditional analytical approaches often fail to integrate the complexity of multi-omics, limiting the discovery of actionable lactylation-associated vulnerabilities. This research aims to develop an AI-driven multi-omics framework to identify lactylation-related genes, stratify patient drug responses, and establish prognostic signatures in ovarian cancer. Transcriptomic, epigenomic, pharmacogenomic, mutation, and clinical outcome data were collected from The Cancer Genome Atlas (TCGA), the Genomics of Drug Sensitivity in Cancer (GDSC), and independent ovarian cancer cohorts. Deep learning models, including variational autoencoders (VAEs), Long Short-Term Memory (LSTM) networks, and Multitask Multilayer Perceptrons (MLPs) (LSTM-MLP), were applied for molecular subtyping, survival analysis, and IC50 prediction. Findings were validated through pathway enrichment, mutation mapping, immune infiltration profiling, and structure-guided drug repurposing, the proposed method achieved precision of (0.955). Key lactylation-related genes, including LDHA and SLC16A3, were associated with immune exhaustion and cisplatin resistance. The Gln-TEx score and lactylation risk signature robustly predicted patient survival and drug response across TCGA and validation cohorts. Perturbation sensitivity and repurposing analyses revealed novel therapeutic vulnerabilities. This study establishes a precision oncology framework that integrates lactylation biology with AI-driven analytics to uncover druggable targets, enhance patient stratification, and inform the design of multi-target therapies in ovarian cancer.",lactyl recent identifi histon modif deriv lactat metabol emerg critic regul epigenet reprogram tumor prolifer immun evas ovarian cancer lactat dehydrogenas ldha metabol enzym contribut lactat accumul support chemotherapi resist diseas progress although lactyl increasingli link therapi failur precis molecular connect ovarian cancer well therapeut potenti unclear tradit analyt approach often fail integr complex multiom limit discoveri action lactylationassoci vulner research aim develop aidriven multiom framework identifi lactylationrel gene stratifi patient drug respons establish prognost signatur ovarian cancer transcriptom epigenom pharmacogenom mutat clinic outcom data collect cancer genom atla tcga genom drug sensit cancer gdsc independ ovarian cancer cohort deep learn model includ variat autoencod vae long shortterm memori lstm network multitask multilay perceptron mlp lstmmlp appli molecular subtyp surviv analysi ic50 predict find valid pathway enrich mutat map immun infiltr profil structureguid drug repurpos propos method achiev precis 0955 key lactylationrel gene includ ldha slc16a3 associ immun exhaust cisplatin resist glntex score lactyl risk signatur robustli predict patient surviv drug respons across tcga valid cohort perturb sensit repurpos analys reveal novel therapeut vulner studi establish precis oncolog framework integr lactyl biolog aidriven analyt uncov druggabl target enhanc patient stratif inform design multitarget therapi ovarian cancer
cancer,"Trastuzumab deruxtecan (T-DXd) is an antibody-drug conjugate successfully used to treat HER2-low and HER2-positive metastatic breast cancer, but resistance consistently develops. Using multivariate Cox proportional hazards in a real-world cohort of 2,799 patients with breast cancer, we aimed to identify clinically relevant T-DXd resistance mechanisms. In patients with samples collected prior to T-DXd treatment, higher expression of ERBB2 (HER2) and lower expression of ABCC1 (an ATP-binding cassette transporter involved in drug efflux) were significantly associated with longer T-DXd-related overall survival (OS); ABCC1 predicted OS independently of HER2. Furthermore, mutations in several genes were enriched in post-T-DXd samples compared to unmatched T-DXd-naive samples, including ERBB2, NFE2L2 (a transcriptional activator of ABCC1), and KEAP1 (a negative regulator of NFE2L2), indicating plausible resistance mechanisms related to HER2 target levels and ABCC1-mediated drug efflux. Identifying such resistance mechanisms might lead to improved methods of precision oncology and novel therapeutic approaches to overcome resistance.",trastuzumab deruxtecan tdxd antibodydrug conjug success use treat her2low her2posit metastat breast cancer resist consist develop use multivari cox proport hazard realworld cohort 2799 patient breast cancer aim identifi clinic relev tdxd resist mechan patient sampl collect prior tdxd treatment higher express erbb2 her2 lower express abcc1 atpbind cassett transport involv drug efflux significantli associ longer tdxdrelat overal surviv os abcc1 predict os independ her2 furthermor mutat sever gene enrich posttdxd sampl compar unmatch tdxdnaiv sampl includ erbb2 nfe2l2 transcript activ abcc1 keap1 neg regul nfe2l2 indic plausibl resist mechan relat her2 target level abcc1medi drug efflux identifi resist mechan might lead improv method precis oncolog novel therapeut approach overcom resist
cancer,"Despite improvements in surgical techniques, advances in delivery of radiation therapy, and development of therapies with central nervous system (CNS) activity, the presence of CNS metastases from breast cancer is frequently associated with a poor prognosis. In 2023, the leadership of the Breast International Group and National Cancer Institute's National Clinical Trials Network convened a CNS working group to identify key challenges and discuss ways that international collaborations could push forward progress in the field. This review reflects initial discussions of the working group and addresses (1) the possible role of screening for CNS metastases, (2) optimal sequencing of local and systemic therapies among patients with human epidermal growth factor receptor 2 (HER2)-positive CNS metastases, (3) management of leptomeningeal disease, and (4) the importance of developing innovative clinical trials for treatment and prevention of CNS metastases across breast cancer subtypes that is informed by preclinical data/basic science, with seamless knowledge translation to allow for rapid clinical adoption.",despit improv surgic techniqu advanc deliveri radiat therapi develop therapi central nervou system cn activ presenc cn metastas breast cancer frequent associ poor prognosi 2023 leadership breast intern group nation cancer institut nation clinic trial network conven cn work group identifi key challeng discuss way intern collabor could push forward progress field review reflect initi discuss work group address 1 possibl role screen cn metastas 2 optim sequenc local system therapi among patient human epiderm growth factor receptor 2 her2posit cn metastas 3 manag leptomening diseas 4 import develop innov clinic trial treatment prevent cn metastas across breast cancer subtyp inform preclin databas scienc seamless knowledg translat allow rapid clinic adopt
cancer,"BACKGROUND: To explore the clinical effect and practical value of perioperative composite insulation scheme in elderly patients undergoing laparoscopic colorectal cancer surgery. METHODS: In this prospective, randomized, controlled trial, we will enroll 100 patients aged over 65 years, schemed for laparoscopic colorectal cancer surgery under general anesthesia. They will be randomly assigned to two groups: the conventional group will adopt the traditional insulation intervention, and the intervention group will implement the composite insulation care intervention. Changes in heart rate and blood pressure between immediately 15 and 30 min after surgery and the incidence of anesthesia recovery and complications between the two groups will be recorded and analyzed. DISCUSSION: It is expected that the perioperative composite insulation intervention strategy can effectively maintain the patient's body temperature, reduce the postoperative stress response, and reduce the incidence of hypothermia and related complications. It can improve the surgical safety and the quality of postoperative recovery in elderly patients. TRIAL REGISTRATION: Chinese Clinical Trial Registry (https://www.chictr.org.cn/) ChiCTR2400088729. Registered in August, 2024. This trial is a prospective registry with the following registry names: Construction and application of perioperative goal-oriented composite insulation scheme in elderly patients undergoing laparoscopic colorectal cancer surgery.",background explor clinic effect practic valu periop composit insul scheme elderli patient undergo laparoscop colorect cancer surgeri method prospect random control trial enrol 100 patient age 65 year scheme laparoscop colorect cancer surgeri gener anesthesia randomli assign two group convent group adopt tradit insul intervent intervent group implement composit insul care intervent chang heart rate blood pressur immedi 15 30 min surgeri incid anesthesia recoveri complic two group record analyz discuss expect periop composit insul intervent strategi effect maintain patient bodi temperatur reduc postop stress respons reduc incid hypothermia relat complic improv surgic safeti qualiti postop recoveri elderli patient trial registr chines clinic trial registri httpswwwchictrorgcn chictr2400088729 regist august 2024 trial prospect registri follow registri name construct applic periop goalori composit insul scheme elderli patient undergo laparoscop colorect cancer surgeri
